University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Missouri (MU),,"$25,000",1.22,2017-2018,1st,"$25,000",,,,
University of Missouri (MU),,"$25,000",1.22,2017-2018,1st,"$25,000",,,,
Arizona State University (ASU),Materials Science & Engineering,"$25,902",1.17,2017-2018,5th,"$27,500",,,"$1,598","I am a Dean's fellow, which I believe just means I make a little more than a normal RA/TA at my university. We have to pay fees of $799/semester to the university."
North Carolina State University (NCSU),Biomedical Engineering,"$28,000",1.23,2017-2018,1st,"$28,000",,,,
University of Pittsburgh,ECE,"$18,450",0.89,2017-2018,1st,,"$18,450",,,
University of Mississippi Medical Center,Microbiology and Immunology ,"$24,150",1.19,2017-2018,4th,"$24,150",,,,
Pennsylvania State University (Penn State),Public affairs,"$9,620",0.43,2017-2018,1st,,"$19,620",,"$10,000",
Georgia Institute of Technology (Georgia Tech),Digital Media,"$18,000",0.77,2017-2018,1st,,"$18,000",,,
Ohio University (OU),Eng,"$14,800",0.71,2017-2018,1st,,"$14,800",,,
,,"$20,250",,2017-2018,5th,,"$22,500",,"$2,250",
University of Colorado - Boulder (UCB),Political Science,"$19,800",0.78,2017-2018,,"$22,000",,,"$2,200",
University of Illinois - Urbana- Champaign (UIUC),Agriculture and Consumer Economics ,"$48,000",2.18,2017-2018,1st,"$48,000",,,,
,Agriculture and Consumer Economics,"$17,000",,2017-2018,1st,"$17,000",,,,
Purdue University - West Lafayette,Engineering Education ,"$52,695",2.49,2017-2018,1st,,"$53,595",,$900,
Arizona State University (ASU),School of Earth and Space Exploration ,"$21,000",0.95,2017-2018,1st,,"$16,000","$5,000",,
University of Michigan - Ann Arbor (UM),Cell and Developmental Biology ,"$30,272",1.31,2017-2018,4th,"$30,600",,,$328,
Drexel University (DU),Physics,"$23,500",0.97,2017-2018,1st,"$23,500",,,,
Northeastern University (NU),Economics,"$22,000",0.77,2017-2018,1st,"$22,000",,,,
Princeton University,Art and Archaeology,"$31,800",1.25,2017-2018,2nd,"$31,800",,,,
Pennsylvania State University (Penn State),Bioinformatics and Genomics,"$32,000",1.42,2017-2018,1st,,"$32,000",,,
New York University (NYU),Philosophy,"$32,292",1.09,2017-2018,1st,"$32,292",,,,
Cornell University (CU),Government,"$31,994",1.32,2017-2018,1st,,"$26,426","$5,568",,"Additional $5,000 for research."
Vanderbilt University,Political Science,"$31,000",1.35,2017-2018,1st,"$31,000",,,,
Pennsylvania State University (Penn State),Political Science,"$24,040",1.07,2017-2018,,"$24,040",,,,"$3,000 for first three summers"
Brandeis University,English,"$24,480",0.88,2016-2017,1st,"$24,480",,,,
CUNY Graduate School and University Center,Musicology,"$25,000",0.84,2017-2018,1st,"$25,000",,,,
Brandeis University,English,"$76,364",2.73,2017-2018,1st,"$76,364",,,,0
University of Illinois - Chicago (UIC),Pharmacy,"$18,000",0.74,2016-2017,5th,"$20,000",,,"$2,000",
Indiana University,Earth and Atmospheric Sciences,"$17,200",0.80,2017-2018,1st,,"$18,300",,"$1,100",
NYU,steinhadt,"$26,000",,2017-2018,,"$26,000",,,,
University of Kansas (KU),American Studies,"$15,043",0.74,2017-2018,1st,,"$15,500",,$457,
University of Wisconsin - Madison (UW),Materials Science and Engineering PhD Program ,"$25,000",1.09,2017-2018,1st,"$25,000",,,,
Brown University,,"$39,000",1.71,2017-2018,1st,"$39,000",,,,
Yale University (YU),Management,"$35,100",1.42,2017-2018,1st,"$35,100",,,,
Dartmouth College,Engineering,"$28,000",1.13,2017-2018,1st,"$28,000",,,,
Yale University (YU),Sociology,"$31,000",1.25,2017-2018,1st,"$31,000",,,,"""Stipend of at least $31,000 per year while you are enrolled"" - 2018-19."
University of Maryland - Baltimore (UMB),Pharmaceutical Sciences,"$25,000",0.97,2017-2018,1st,"$25,000",,,,
University of Utah,Biosciences,"$28,000",1.26,2017-2018,1st,"$28,000",,,,Molecular Biology and Biological Chemistry Programs
Montana State University (MSU),Ecology,"$21,080",1.01,2017-2018,3rd,"$21,080",,,,Includes additional pay to cover health insurance costs on ACA marketplace.
University of Colorado - Boulder (UCB),Neuroscience (MCDB),"$32,000",1.25,2017-2018,1st,"$32,000",,,,
University of California - Los Angeles (UCLA),Psychology,"$40,610",1.57,2016-2017,4th,"$41,000",,,$390,This was a T32 fellowship on top of serving as a TA every quarter.
University of California - San Diego (UCSD),Sociology,"$20,000",0.76,2017-2018,1st,"$52,121",,,"$32,121",Includes Health Insurance
Harvard University (HU),Sociology,"$34,632",1.21,2017-2018,1st,,"$28,860","$5,772",,
Harvard University (HU),Biological and Biomedical Science,"$37,235",1.30,2017-2018,5th,"$37,260",,,$25,
Tulane University (TU),aging,"$24,000",1.04,2017-2018,1st,"$24,000",,,,
Stanford University (SU),N/A,"$40,000",1.39,2017-2018,1st,"$40,000",,,,
University of Toledo,physics,"$24,000",1.28,2017-2018,1st,,"$18,000","$6,000",,
Georgetown University,Spanish ,"$29,000",0.94,2017-2018,,,"$29,000",,,
University of Mississippi Medical Center,Neuro,"$24,150",1.19,2016-2017,2nd,"$24,150",,,,
,Biology ,"$30,000",,2016-2017,1st,"$30,000",,,,
Boston University (BU),Biology ,"$30,000",1.05,2016-2017,1st,"$30,000",,,,
Dartmouth College,Neuroscience,"$30,000",1.21,2017-2018,1st,"$30,000",,,,
University of Texas - Arlington (UTA),Mechanical Engineering,"$16,000",0.73,2017-2018,1st,"$18,000",,,"$2,000",
Columbia University (CU),,"$39,000",1.31,2016-2017,1st,"$39,000",,,,
Florida State University (FSU),Rhetoric and Composition ,,0.00,2017-2018,1st,,"$1,500",,"$1,500",
Stanford University (SU),Applied Physics,"$39,420",1.37,2017-2018,5th,"$40,152",,,$732,
,,"$8,784",,2016-2017,,,"$8,784",,,
Virginia Tech,"Genetics, Bioinformatics and Computational Biology","$27,000",1.28,2016-2017,1st,"$27,000",,,,
Bowling Green State University (BGSU),Photochemical Sciences,"$18,800",1.00,2017-2018,1st,,"$16,500","$4,300","$2,000",
Johns Hopkins University (JHU),Biology,"$33,000",1.28,2017-2018,5th,"$33,000",,,,"Stipend goes up yearly,  and cost of living is cheap here. Also, TAing in years 3 and up pays extra in most cases ($1,000-2,000 per semester)"
Tribhuvan University,ALl,$620,,2016-2017,1st,$720,,,$100,
Medical University of South Carolina,Biological Sciences,"$28,000",1.16,2017-2018,1st,"$28,000",,,,
New York University (NYU),Biology,"$36,000",1.21,2016-2017,2nd,"$36,000",,,,
Embry-Riddle Aeronautical University,Human Factors,"$15,000",,2017-2018,3rd,"$15,000",,,,
Western Michigan University (WMU),Economics,"$12,400",0.61,2017-2018,2nd,,"$12,400",,,
University of Oklahoma (OU),biology,"$14,000",0.70,2017-2018,3rd,"$17,000",,,"$3,000",
Mount Sinai School of Medicine,Neuroscience,"$34,000",1.14,2016-2017,2nd,"$34,000",,,,
,,$200,,2016-2017,,"$3,200",,,"$3,000",
University of Toledo,Biological Sciences,"$25,526",1.36,2017-2018,,"$25,526",,,,
University of Maryland - College Park (UMD),pharmaceutical sciences ,"$25,000",0.83,2017-2018,1st,"$25,000",,,,
Drexel University (DU),Environmental Engineering,"$24,000",1.00,2017-2018,1st,"$24,000",,,,
University of Notre Dame (ND),Theology,"$23,000",1.12,2017-2018,1st,"$23,000",,,,
University of Arkansas - Fayetteville,Biological Sciences,"$39,000",1.95,2017-2018,1st,"$39,000",,,,"Teaching Assistant stipend: $17,000
Distinguished Doctoral Fellowship: $22,000
Plus a full tuition waiver"
University of Rochester (UR),Translational Biomedical Sciences,"$29,000",1.36,2017-2018,1st,"$29,000",,,,
"University of Colorado, Boulder",Applied Mathematics,"$16,000",,2017-2018,3rd,,"$18,000",,"$2,000",
Ohio State University (OSU),Cognitive Psychology,"$25,800",1.29,2017-2018,1st,"$25,800",,,,
,,"$28,000",,2016-2017,1st,,"$28,000",,,
Michigan State University (MSU),Microbiology & Molecular Genetics ,"$28,300",1.38,2017-2018,1st,"$28,300",,,,
Rutgers the State University of New Jersey - New Brunswick,Public Health - PhD,"$25,000",0.97,2017-2018,,"$25,000",,,,
University of Pittsburgh,ECE,"$18,500",0.89,2017-2018,1st,,"$18,500",,,
University of Minnesota - Twin Cities (UM),"Biochemistry, molecular biology, and biophysics","$28,250",1.23,2017-2018,1st,"$28,500",,,$250,
New York University (NYU),Physics,"$38,400",1.29,2017-2018,1st,,"$27,900","$10,500",,MacCracken Fellowship (total: $38400/year)
University of Oklahoma (OU),Geography & ES,"$14,059",0.70,2016-2017,1st,,"$14,059",,,
Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,"$31,500",1.35,2017-2018,1st,"$31,500",,,,
Emory University,Physics ,"$25,982",1.12,2017-2018,1st,"$27,000",,,"$1,018",
University of Texas - Austin (UT),Institute for Neuroscience,"$28,000",1.23,2016-2017,3rd,"$28,000",,,,
University of Cincinnati (UC),Internal Medicine,"$48,474",2.51,2016-2017,3rd,"$48,474",,,,
Arizona State University (ASU),Engineering ,"$30,000",1.35,2017-2018,1st,"$30,000",,,,
Princeton University,Chemical Engineering,"$36,150",1.42,2017-2018,1st,"$36,150",,,,
University of Florida (UF),,"$24,920",1.10,2017-2018,1st,"$25,000",,,$80,
Yale University (YU),Comparative Literature,"$31,000",1.25,2017-2018,1st,"$31,000",,,,
University of Pennsylvania,Psychology - Clinical,"$32,000",1.33,2017-2018,1st,"$32,000",,,,
University of Notre Dame (ND),Philosophy,"$34,000",1.66,2017-2018,1st,"$34,000",,,,
Mississippi State University (MSU),Anthropology,"$8,000",0.37,2016-2017,1st,,"$9,000",,"$1,000",The university waives 71% in-state tuition and 100% out-of-state tuition. You have to pay for university fees and insurance yourself. The university reimburses you $200 for insurance under a TA/RA position. 
,,"$28,200",,2016-2017,,,"$22,000","$7,000",$800,
University of Minnesota - Twin Cities (UM),"Ecology, Evolution and Behaviour","$24,116",1.05,2015-2016,4th,"$25,116",,,"$1,000",Includes international student fees
Indiana University- Purdue University - Indianapolis (IUPUI),School of Informatics,"$21,000",1.02,2017-2018,1st,"$39,000",,,"$18,000",
University of Nevada - Las Vegas (UNLV),civil engineering ,"$16,750",0.74,2017-2018,1st,,"$16,750",,,
University of Florida (UF),Biomedical Sciences ,"$29,400",1.29,2017-2018,1st,"$29,400",,,,"My program pays my semester fees (~$740) for spring summer and fall, and I also receive comprehensive health insurance at no out of pocket cost. "
University of Massachusetts - Amherst (UMass),English,"$18,494",0.81,2016-2017,3rd,,"$19,174",,$680,
Virginia Tech,Psychology,"$24,700",1.17,2016-2017,5th,"$25,000",,,$300,
Duke University (DU),Cognitive Neuroscience Admitting Program,"$29,420",1.56,2014-2015,1st,"$29,420",,,,
Pennsylvania State University (Penn State),Psychology ,"$23,800",1.06,2016-2017,,,"$20,100","$3,700",,
University of Massachusetts - Amherst (UMass),Neuroscience and behavior ,"$25,200",1.10,2017-2018,4th,"$26,000",,,$800,Required fees are servicing fees 
University of Illinois - Urbana- Champaign (UIUC),English,"$25,000",1.14,2016-2017,1st,"$25,000",,,,
University of Illinois - Urbana- Champaign (UIUC),English,"$25,000",1.14,2016-2017,1st,"$25,000",,,,
University of Illinois - Urbana- Champaign (UIUC),English,"$21,817",0.99,2016-2017,1st,"$21,817",,,,
Loyola University Chicago (LUC),English,"$20,000",0.82,2016-2017,1st,"$20,000",,,,
University of Chicago (UC),English,"$18,000",0.74,2016-2017,1st,"$18,000",,,,
University of Chicago (UC),English,"$30,000",1.24,2016-2017,1st,"$30,000",,,,
University of Chicago (UC),English,"$33,000",1.36,2016-2017,1st,"$33,000",,,,
University of Hawaii - Manoa (UH),English,"$19,200",0.63,2016-2017,1st,"$19,200",,,,
Georgia State University (GSU),English,"$15,000",0.64,2016-2017,1st,"$15,000",,,,
University of Georgia (UGA),English,"$16,700",0.79,2016-2017,1st,"$16,700",,,,
Emory University,English,"$24,000",1.03,2016-2017,1st,"$24,000",,,,
University of South Florida (UCF),English,"$15,000",0.68,2016-2017,1st,"$15,000",,,,
University of Miami (UM),English,"$22,000",0.92,2016-2017,1st,"$22,000",,,,
Florida State University (FSU),English,"$22,000",0.94,2016-2017,1st,"$22,000",,,,
University of Florida (UF),English,"$17,400",0.77,2016-2017,1st,"$17,400",,,,
University of Delaware (UD),English,"$24,000",0.95,2016-2017,1st,"$24,000",,,,
Washington University in St. Louis (Wash U),English,"$25,860",1.25,2016-2017,1st,"$25,860",,,,
Washington University in St. Louis (Wash U),English,"$23,360",1.13,2016-2017,1st,"$23,360",,,,
University of Delaware (UD),English,"$20,000",0.79,2016-2017,1st,"$20,000",,,,
University of Delaware (UD),English,"$20,000",0.79,2016-2017,1st,"$20,000",,,,
Howard University (HU),English,"$17,000",0.55,2016-2017,1st,"$17,000",,,,
George Washington University (GW),English,"$23,000",0.75,2016-2017,1st,"$23,000",,,,
The Catholic University of America,English,"$18,000",0.58,2016-2017,1st,"$18,000",,,,
Yale University (YU),English,"$30,225",1.22,2016-2017,1st,"$30,225",,,,
University of Connecticut (UConn),English,"$24,107",0.99,2016-2017,1st,"$24,107",,,,
University of Denver (DU),English,"$17,500",0.78,2016-2017,1st,"$17,500",,,,
University of Colorado - Boulder (UCB),English,"$22,000",0.86,2016-2017,1st,"$22,000",,,,
University of California - Santa Barbara (UCSB),English,"$20,000",0.76,2016-2017,1st,"$20,000",,,,
University of California - Riverside (UCR),English,"$20,000",0.83,2016-2017,1st,"$20,000",,,,
University of California - Davis (UCD),English,"$20,000",0.83,2016-2017,1st,"$20,000",,,,
University of California - Berkeley,English,"$30,000",1.08,2016-2017,1st,"$30,000",,,,
University of California - Berkeley,English,"$32,000",1.15,2016-2017,1st,"$32,000",,,,
University of California - Los Angeles (UCLA),English,"$24,000",0.93,2016-2017,1st,"$24,000",,,,
UCLa,English,"$24,000",,2016-2017,1st,"$24,000",,,,Corrected amount.
University of Southern California (USC),English,"$30,000",1.16,2016-2017,1st,"$30,000",,,,Corrected amount.
University of Southern California (USC),English,"$20,000",0.77,2016-2017,1st,"$20,000",,,,
Claremont Graduate University (CGU),English,"$20,000",0.77,2016-2017,1st,"$20,000",,,,
Claremont Graduate University (CGU),,"$20,000",0.77,2016-2017,1st,"$20,000",,,,
University of Arkansas - Fayetteville,,"$23,333",1.17,2016-2017,1st,"$23,333",,,,
University of Arkansas - Fayetteville,,"$12,000",0.60,2016-2017,1st,"$12,000",,,,
Arizona State University (ASU),,"$17,000",0.77,2016-2017,1st,"$17,000",,,,
University of Arizona (U of A),,"$16,500",0.80,2016-2017,1st,"$16,500",,,,
Auburn University (AU),,"$14,000",0.65,2016-2017,1st,"$14,000",,,,
University of Alabama (UA),,"$19,000",0.90,2016-2017,1st,"$19,000",,,,
University of Alabama (UA),,"$13,500",0.64,2016-2017,1st,"$13,500",,,,
University of Alberta,Mathematical and Statistical Sciences,"$19,000",,2016-2017,1st,,"$18,000","$9,000","$8,000",
University of Cincinnati (UC),Material Science,"$11,685",0.61,2017-2018,2nd,,"$14,400","$1,500","$4,215",
University of California - San Diego (UCSD),Mathematics,"$20,000",0.76,2017-2018,2nd,,"$20,000",,,
Georgetown University,Interdisciplinary Program in Neuroscience,"$30,000",0.97,2017-2018,,"$30,000",,,,
Tufts University (TU),Biology,"$31,507",1.13,2016-2017,4th,"$31,507",,,,Paid 12 month salary but summer pay comes in two lump sums.
Tufts University (TU),Physics,"$29,500",1.06,2016-2017,2nd,"$29,500",,,,
Stony Brook University - SUNY,computer science,"$33,560",1.20,2017-2018,1st,,"$23,560","$10,000",,
Louisiana State University - Baton Rouge,Biological Sciences,"$30,000",1.38,2017-2018,1st,"$30,000",,,,Board of Regents Fellowship
University of Miami (UM),Mechanical Engineering,"$27,000",1.13,2016-2017,1st,"$27,000",,,,
University of California - Berkeley,Sociology,"$30,000",1.08,2017-2018,1st,,"$28,000","$2,000",,
North Carolina State University (NCSU),microbiology,"$15,500",0.68,2016-2017,3rd,,"$18,000",,"$2,500",
Yale University (YU),Economics,"$39,000",1.58,2017-2018,1st,"$39,000",,,,
Dartmouth College,MCB,"$29,500",1.19,2017-2018,1st,"$29,500",,,,
University of Wisconsin - Madison (UW),Medical Physics,"$23,675",1.04,2017-2018,1st,"$24,000",,,$325,
Massachusetts Institute of Technology (MIT),Urban Studies & Planning,"$37,680",1.35,2017-2018,1st,"$37,680",,,,
University of North Carolina - Chapel Hill (UNC),City & Regional Planning,"$24,000",1.08,2016-2017,1st,"$24,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering ,"$24,000",1.09,2016-2017,4th,"$24,000",,,,Paid over 11 months 
University of Illinois - Urbana- Champaign (UIUC),Mechanical Engineering,"$28,000",1.27,2017-2018,1st,"$28,000",,,,
University of California - Los Angeles (UCLA),Science and letters,"$-10,000",-0.39,2016-2017,1st,"$10,000",,,"$20,000",
University of California - San Diego (UCSD),bioenginnering,"$37,551",1.42,2016-2017,3rd,"$37,551",,,,
University of Arkansas for Medical Sciences,PEP,"$24,000",1.15,2016-2017,3rd,"$24,000",,,,University stipend does not include health insurance nor gym/recreation services
University of Connecticut (UConn),History,"$17,012",0.70,2017-2018,1st,,"$17,812",,$800,
University of Arkansas for Medical Sciences,Pharmaceutical sciences,"$24,000",1.15,2017-2018,4th,"$24,000",,,,
University of Arkansas for Medical Sciences,Pharmacy Practice/Pharmaceutical Sciences,"$24,000",1.15,2017-2018,3rd,"$24,000",,,,
New York University (NYU),Biology,"$38,000",1.28,2016-2017,4th,"$38,000",,,,
Cornell University (CU),Physics,"$33,623",1.39,2017-2018,1st,,"$28,817","$4,806",,
Yale University (YU),Physics,"$34,550",1.40,2017-2018,1st,"$34,550",,,,
University of Oregon (UO),Biology,"$25,820",1.23,2017-2018,1st,"$26,000",,,$180,
University of Rochester (UR),School of education ,"$4,500",0.21,2017-2018,1st,"$4,500",,,,
Virginia Tech,Chemistry ,"$21,974",1.04,2017-2018,2nd,"$23,774",,,"$1,800",
Iowa State University (ISU),Kinesiology,"$24,056",1.13,2017-2018,1st,,"$24,656",,$600,
University of California - Berkeley,Haas - Management,"$38,000",1.37,2017-2018,1st,"$38,000",,,,
University of Michigan - Ann Arbor (UM),Ross - Strategy,"$30,000",1.30,2017-2018,1st,"$30,000",,,,
Northern Arizona University (NAU),Informatics and Computing ,"$19,200",0.82,2016-2017,1st,"$20,000",,,$800,
Max Planck Institute for Human Cognitive & Brain Sciences,,"$21,944",,2017-2018,1st,"$21,944",,,,There's bonus payments in addition to the monthly salary at least once a year.
Baylor University (BU),Sociology,"$20,398",1.03,2017-2018,,"$23,500",,,"$3,102",
,,"$21,752",,2016-2017,,,"$18,432","$5,000","$1,680",
West Virginia University (WVU),Biomedical Engineering,"$30,960",1.39,2016-2017,1st,"$30,960",,,,
,Microbiology,"$16,000",,2016-2017,,"$21,000",,,"$5,000",
,,"$16,000",,2016-2017,,"$21,000",,,"$5,000",
University of Hawaii - Manoa (UH),Psychology,"$21,278",0.70,2016-2017,4th,"$22,178",,,$900,18226 after taxes
Northwestern University (NU),Psychology,"$29,550",1.22,2016-2017,3rd,"$29,880",,,$330,"Sometimes taxed, sometimes not."
Iowa State University (ISU),Animal Science,"$25,200",1.19,2017-2018,1st,"$25,200",,,,100% tuition payment 
University of Pittsburgh,Psychology,"$2,170",0.10,2017-2018,2nd,"$2,200",,,$30,"Health insurance is included. We only pay vision and dental insurance  ~$30 per month 

Every semester we pay $30 required fees"
University of Tennessee - Knoxville,Microbiology,"$18,000",0.85,2017-2018,1st,"$20,000",,,"$2,000",
university of melbourne,department of health sciences ,"$23,900",,2017-2018,1st,"$23,900",,,,
Carleton University ,Earth sciences,"$18,000",,2016-2017,3rd,"$18,000",,,,
Arizona State University (ASU),Computer Science,"$29,200",1.32,2017-2018,2nd,,"$20,000","$13,200","$4,000",
University of Wisconsin - Madison (UW),Pharmacology,"$27,000",1.18,2017-2018,1st,"$28,000",,,"$1,000",
Ohio State University (OSU),CSE,"$22,080",1.10,2017-2018,4th,"$23,880",,,"$1,800",
Johns Hopkins University (JHU),Neuroscience,"$32,000",1.24,2017-2018,1st,"$32,000",,,,
University of Texas - Dallas (UTD),Cognition and Neuroscience ,"$23,333",1.08,2017-2018,2nd,"$23,333",,,,
Tufts University (TU),biology,"$31,500",1.13,2016-2017,1st,"$32,000",,,$500,
Rockefeller University,David Rockefeller Graduate Program,"$39,400",1.32,2017-2018,6th and up,"$39,400",,,,
University of Kentucky (UK),Geography,"$13,828",0.68,2016-2017,5th,,"$15,176",,"$1,348",
University of Minnesota - Twin Cities (UM),Experimental and Clinical pharmacology,"$49,000",2.14,2016-2017,3rd,"$49,000",,,,
,,"$19,305",,2016-2017,,,"$20,100",,$795,
University of Kentucky (UK),Toxicology & Cancer Biology,"$24,500",1.20,2017-2018,3rd,"$24,500",,,,
University of North Texas (UNT),Biology,"$2,000",0.09,2016-2017,4th,"$2,000",,,,"$700 per month for insurance- single, no family "
Michigan State University (MSU),Forestry,"$26,000",1.27,2017-2018,1st,"$26,000",,,,
University of Saskatchewan ,Animal and poultry science ,"$19,500",,2017-2018,3rd,"$24,000",,,"$4,500",
Duke University (DU),UPGG,"$28,000",1.26,2015-2016,4th,"$28,000",,,,
University of North Carolina - Charlotte (UNCC),Civil and Environmental Engineering,"$14,500",0.63,2017-2018,2nd,"$20,000",,,"$5,500",
University of California - Irvine (UCI),English ,"$21,000",0.72,2017-2018,1st,,"$21,000",,,
Ohio State University (OSU),English ,"$17,000",0.85,2017-2018,1st,,"$17,000",,,
University of California - Davis (UCD),Sociology ,"$23,850",0.99,2017-2018,1st,,"$20,000","$4,000",$150,
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$23,536",1.01,2017-2018,4th,"$27,000",,,"$3,464",
University of Maryland - Baltimore (UMB),School of medicine,"$28,000",1.09,2016-2017,1st,"$28,000",,,,
Rice University,Sociology ,"$26,109",1.19,2017-2018,1st,"$27,500",,,"$1,391",
University of Saskatchewan,Community Health and Epidemiology,"$1,400",,2016-2017,4th,"$1,600",,,$200,
Temple University (TU),psychology,"$25,000",1.04,2016-2017,4th,"$25,000",,,,
Indiana University,"Genome, Cell and Developmental Biology","$23,500",1.09,2016-2017,4th,"$25,000",,,"$1,500",
University of Western Australia,Ecology,"$38,000",,2017-2018,1st,"$38,000",,,,"$29,000 is my stipend, $9,000 on top of that is what I earn teaching and working a weekend job"
University of otago,Surgical sciences,"$2,083",,2017-2018,1st,"$2,083",,,,
,Psychology,"$20,000",,2016-2017,3rd,"$20,000",,,,
Sapienza University of Rome,Psychology,"$1,500",,2016-2017,3rd,"$1,500",,,,
North Carolina State University (NCSU),Molecular Biomedical Sciences,"$20,000",0.88,2015-2016,1st,"$20,000",,,,
North Carolina State University (NCSU),Molecular Biomedical Sciences,"$48,000",2.10,2017-2018,1st,"$48,000",,,,
University of Virginia (UVA),Physics,"$24,000",1.05,2016-2017,,"$24,000",,,,
"National University of Ireland, Galway",Anatomy/Neuroimaging ,"$14,782",,2017-2018,1st,"$14,782",,,,Fees paid for 
"National University of Ireland, Galway",Anatomy/Neuroimaging ,"$9,239",,2017-2018,1st,"$14,782",,,"$5,543",Fees paid for 
"National University of Ireland, Galway",Anatomy/Neuroimaging ,"$9,239",,2017-2018,1st,"$14,782",,,"$5,543",Fees paid for 
Washington University in St. Louis (Wash U),Division of Biological and Biomedical Sciences ,"$30,000",1.45,2017-2018,1st,"$30,000",,,,
University of California - San Diego (UCSD),Biology,"$48,500",1.83,2016-2017,1st,"$48,500",,,,
Rice University,Anthropology,"$21,500",0.98,2017-2018,1st,"$21,500",,,,
University of California - Berkeley,Anthropology,"$26,000",0.94,2017-2018,1st,"$26,000",,,,
University of California - Riverside (UCR),Geology ,"$24,550",1.02,2016-2017,,,"$18,550","$6,000",,
Emory University,"Population biology, ecology, and evolution","$31,000",1.33,2017-2018,3rd,"$31,000",,,,
Emory University,"Population biology, ecology, and evolution","$3,100",0.13,2017-2018,3rd,"$3,100",,,,
University of Saskatchewan ,Psychology ,"$168,400",,2016-2017,,"$175,000",,,"$6,600",
Boise State University (BSU),"Ecology, Evolution, & Behavior","$25,000",1.27,2017-2018,1st,"$25,000",,,,
California Institute of Technology (Caltech),Bioengineering,"$34,000",1.31,2016-2017,1st,"$34,000",,,,
University of California - Davis (UCD),Population Biology,"$24,000",1.00,2017-2018,1st,"$24,000",,,,
University of Oregon (UO),Biology,"$26,550",1.27,2017-2018,1st,"$26,550",,,,
Indiana University,Biology,"$25,000",1.16,2017-2018,1st,"$25,000",,,,
Cold Spring Harbor Laboratory,Watson School of Biological Sciences,"$33,500",,2015-2016,6th and up,"$33,500",,,,
Rockefeller University,,"$60,000",2.02,2016-2017,4th,"$60,000",,,,"This was the amount set by my fellowship, not my PI. I would have made 55 if my PI PAID ME "
Emory University,Neuroscience,"$29,000",1.25,2016-2017,5th,"$29,500",,,$500,
Stanford University (SU),Economics,"$38,600",1.34,2016-2017,1st,"$38,600",,,,
Uppsala University,Ecology and Genetics,"$2,900",,2016-2017,4th,"$2,900",,,,The amount is the gross salary per month. Free healthcare. 80 % salary during sick leave. 1.5 years paid parental leave (50-80 % salary)
Uppsala University,Ecology and Genetics,"$2,900",,2016-2017,4th,"$2,900",,,,
Flinders University,Science and Engineering,"$26,000",,2016-2017,1st,"$26,000",,,,
University of Kentucky (UK),Biology,"$21,325",1.04,2016-2017,3rd,,"$21,500",,$175,
University of Illinois - Urbana- Champaign (UIUC),Art History,"$15,780",0.72,2017-2018,2nd,,"$16,380",,$600,TA Appointment
University of Illinois - Urbana- Champaign (UIUC),Art History,"$14,400",0.65,2017-2018,1st,,"$15,000",,$600,Fellowship
University of Liverpool,Biology,"$20,000",,2017-2018,4th,"$20,000",,,,
University of California - Berkeley,MCB,"$35,000",1.26,2017-2018,2nd,"$35,000",,,,
Syracuse University,Mathematics,"$21,500",1.01,2017-2018,5th,,"$21,500",,,
Syracuse University,Mathematics,"$20,000",0.94,2017-2018,3rd,,"$20,000",,,
Syracuse University,Mathematics,"$18,500",0.87,2017-2018,1st,,"$18,500",,,
Ohio State University (OSU),Electrical and Computer Engineering,"$1,675",0.08,2017-2018,5th,,"$1,775",,$100,
Yale University (YU),Immunobiology,"$35,150",1.42,2017-2018,1st,"$35,150",,,,Free health insurance but it only covers treatment through Yale Health and getting an appointment for anything can take over a month. 
University of California - Berkeley,Helen Wills Neuroscience,"$36,000",1.30,2017-2018,3rd,"$36,000",,,,
University of Arkansas - Fayetteville,Biology,"$18,000",0.90,2015-2016,2nd,,"$18,000",,,
Oregon State University (OSU),Biochemistry and biophysics,"$23,850",1.14,2016-2017,3rd,"$24,000",,,$150,
Clemson University (CU),Human Centered Computing,"$21,000",1.01,2017-2018,2nd,"$24,000",,,"$3,000",
University of Florida (UF),Mechanical engineering,"$30,200",1.33,2016-2017,1st,"$32,000",,,"$1,800",
University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,"$27,000",1.18,2017-2018,1st,"$27,000",,,,
Boston University (BU),Earth & Environment,"$30,750",1.07,2016-2017,4th,"$30,750",,,,All fees covered. Includes basic health insurance.
North Dakota State University (NDSU),Genomics and Bioinformatics,"$18,325",0.96,2017-2018,3rd,"$19,000",,,$675,
University of British Columbia,Forest and Conservation Sciences,"$-5,000",,2017-2018,6th and up,,,,"$5,000",
Colorado State University (CSU),"Fish, Wildlife, and Conservation Biology","$21,232",0.95,2017-2018,3rd,"$23,232",,,"$2,000",
,,"$36,000",,2016-2017,,"$36,000",,,,
Harvard University (HU),Biology,"$37,225",1.30,2017-2018,,"$37,250",,,$25,"Plus full tuition coverage, and health insurance, but dental insurance costs costs extra, and no vision coverage is offered."
North Carolina State University (NCSU),"Marine, Earth, and Atmospheric Sciences","$23,500",1.03,2017-2018,2nd,"$26,000",,,"$2,500",
