University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
University of Washington (UW),School of Environmental and Forest Sciences,"$23,203",1.00,2020-2021,2nd,,"$23,571",,$368,
Iowa State University (ISU),Chemistry,"$25,354",1.19,2021-2022,1st,"$26,604",,,"$1,250",
Emory University,Chemistry,"$31,775",1.36,2021-2022,,"$31,775",,,,
Iowa State University (ISU),Computer science,"$17,000",0.80,2020-2021,1st,"$20,000",,,"$3,000",
Pennsylvania State University (Penn State),Nursing,"$30,000",1.34,2020-2021,3rd,,"$30,000",,,
Johns Hopkins University (JHU),Chemistry,"$32,470",1.26,2020-2021,1st,"$32,470",,,,
University of California Santa Barbara,Materials,"$38,500",,2019-2020,5th,"$38,500",,,,"health insurance covered, no premium
fellowship rate"
University of California - Berkeley,Biophysics,"$37,750",1.36,2020-2021,5th,"$37,750",,,,"GSR (Graduate Student Researcher) stipend. Annual health+dental insurance (~$3000) is covered directly by the program (not included in Gross Pay) but is considered ""taxable compensation"" so you have to pay taxes on it using your stipend."
George Washington University (GW),,"$34,506",1.12,2020-2021,2nd,,"$27,560","$7,000",$54,"Fellowship + supplement by grants in the summer. Additional $1900 towards healthcare if you enroll in the student plan, which mostly covers it (around ~$300 left) "
Bowling Green State University (BGSU),Clinical Psychology,"$14,000",0.75,2020-2021,2nd,"$18,000",,,"$4,000",~2k fee per semester
University of Kentucky (UK),Entomology,"$21,000",1.03,2020-2021,2nd,"$21,000",,,,
Georgia Institute of Technology (Georgia Tech),QBioS,"$24,000",1.03,2020-2021,2nd,"$27,000",,,"$3,000",Pays about $1500 per semester for fees+health insurance.
Cornell University (CU),"Physiology, Biophysics, and Systems Biology (Weill Cornell)","$42,230",1.74,2020-2021,1st,"$42,230",,,,Free health insurance coverage for comprehensive health plan
Cornell University (CU),Biology and Biomedical Sciences Program ,"$37,000",1.53,2020-2021,,"$37,000",,,,
Yale University (YU),Management,"$34,000",1.38,2020-2021,5th,"$34,000",,,,
University of Georgia (UGA),environmental,"$24,495",1.16,2020-2021,1st,"$24,495",,,,
Albert Einstein College of Medicine,Biomedical Sciences,"$38,000",,2020-2021,2nd,"$38,000",,,,"Rent subsidized, free health insurance"
New York University (NYU),Social Work,"$30,000",1.01,2020-2021,2nd,,"$30,000",,,
University of Texas - Austin (UT),Microbiology,"$32,500",1.42,2020-2021,4th,"$32,500",,,,
University of Texas - Austin (UT),Biochemistry,"$32,500",1.42,2020-2021,4th,"$32,500",,,,
,economics,"$30,000",,2021-2022,,"$30,000",,,,
,economics,"$25,000",,2020-2021,,"$25,000",,,,
University of Texas - Austin (UT),Pharmacy,"$29,500",1.29,2021-2022,1st,"$29,500",,,,
University of Kentucky (UK),Mechanical Engineering,"$17,600",0.86,2020-2021,2nd,"$19,500",,,"$1,900","From an international student perspective: The compulsory fee (a little less than $1900) is very high, taxes are 20% of gross pay. The stipend is $750 bi-weekly. If you plan to stay without roommates, then you'll be living paycheck to paycheck and cut short on many expenses. I am a single person with no dependents."
Purdue University - West Lafayette,ECE,"$26,400",1.25,2020-2021,1st,"$26,400",,,,
University of Missouri (MU),EECS,"$2,000",0.10,2020-2021,,,"$2,000",,,
Iowa State University (ISU),Animal Science,"$23,447",1.10,2020-2021,3rd,"$24,000",,,$553,
University of New Orleans (UNO),Biological Sciences,"$19,700",0.85,2020-2021,3rd,,"$18,000","$3,000","$1,300",
University of Texas - Austin (UT),Biomedical Engineering,"$27,325",1.20,2020-2021,6th and up,"$27,500",,,$175,
Oklahoma State University (OSU),Education and Human Sciences,"$23,355",1.20,2020-2021,2nd,,"$17,505","$5,850",,
University of Virginia (UVA),Computer Science,"$29,536",1.29,2020-2021,1st,"$29,536",,,,Tuition/Fees/Health Insurance (excl. dental) is covered.
Brandeis University,Biochemistry and Biophysics,"$35,000",1.25,2020-2021,1st,"$35,000",,,,
George Washington University (GW),IBS,"$33,000",1.07,2020-2021,2nd,"$33,000",,,,
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer engineering,"$28,800",1.31,2020-2021,1st,"$28,800",,,,Partial fee waiver and complete tuition waiver.
University of Notre Dame (ND),Political Science ,"$28,928",1.41,2020-2021,1st,"$29,000",,,$72,
University of Notre Dame (ND),Political Science ,"$28,928",1.41,2020-2021,1st,"$29,000",,,$72,
Cedars-Sinai medical Center,Biomedical Sciences,"$46,000",,2020-2021,6th and up,"$46,000",,,,
Northern Arizona University (NAU),SICCS,"$34,000",1.45,2021-2022,1st,"$34,000",,,,
University of Toronto,Criminology and Sociolegal Studies,"$24,800",,2020-2021,,,"$24,800",,,
University of Toronto,Criminology and Sociolegal Studies,"$15,800",,2019-2020,4th,,"$24,800",,"$9,000",This includes TA and RA work.
California Institute of Technology (Caltech),,"$34,400",1.33,2020-2021,3rd,"$35,000",,,$600,
Colorado School of Mines,Materials Science,"$28,000",1.25,2020-2021,1st,"$28,000",,,,Offered RA-ship
,,"$35,000",,2020-2021,,"$35,000",,,,
University of California - Davis (UCD),linguistics,$750,0.03,2020-2021,3rd,"$1,000",,,$250,
University of Minnesota - Twin Cities (UM),"Biochemistry, Molecular Biology and Biophysics","$30,720",1.34,2020-2021,1st,"$31,000",,,$280,280 a year for the best health insurance
Old Dominion University (ODU),Computer Science,"$20,700",0.78,2020-2021,3rd,"$22,900",,,"$2,200",
Old Dominion University (ODU),Computer Science,"$18,900",0.71,2019-2020,2nd,"$21,100",,,"$2,200",
Washington University in St. Louis (Wash U),Political Science,"$27,500",1.33,2020-2021,1st,"$27,500",,,,
New York University (NYU),Tandon School of Engineering ,"$36,000",1.21,2020-2021,1st,"$36,000",,,,
University of Southern California (USC),Earth Scienes,"$35,500",1.37,2020-2021,,"$35,500",,,,
University of Wisconsin - Madison (UW),Computer Science,"$20,500",0.90,2020-2021,1st,,"$22,000",,"$1,500","Standard TA, 20/week appointment"
George Washington University (GW),Biomedical Sciences,"$33,000",1.07,2020-2021,,"$33,000",,,,$1000 incremental increase per each additional year spent in the program
University of Texas - Austin (UT),Cell and Molecular Biology,"$34,000",1.49,2020-2021,1st,"$34,000",,,,
Montana State University (MSU),Earth Sciences,"$2,000",0.10,2020-2021,3rd,"$2,100",,,$100,"All class fees are paid for, but I have to pay my own health insurance out of my stipend. However, my advisor adds $250/mo to my stipend (increasing it from $1850 to $2100) to cover this cost."
DePaul University (DPU),Psychology,"$20,600",0.85,2020-2021,1st,,"$20,600",,,
Virginia Tech,Entomology ,"$22,994",1.09,2020-2021,2nd,"$25,752",,,"$2,758",
Duke University (DU),Biology,"$32,400",1.46,2020-2021,4th,"$32,400",,,,
Duke University (DU),Biology ,"$32,400",1.46,2020-2021,4th,"$32,400",,,,
Texas Tech University (TTU),Teacher education,"$8,000",0.39,2020-2021,2nd,,"$8,000",,,
University of South Carolina (USC),Drug Discovery and Biomedical Sciences ,"$28,400",1.26,2020-2021,3rd,"$29,000",,,$600,
University of Iowa (UI),Higher Education and Student Affairs,"$19,700",0.89,2020-2021,3rd,,"$20,000",,$300,"I have fellowship that is funded by a nonprofit, not by the university. My stipend will increase after I pass comps"
Brown University,Biomedical Engineering,"$33,435",1.47,2020-2021,3rd,"$33,500",,,$65,Summer pay is lower due to taxes 
University of Maryland - Baltimore County (UMBC),Chemical Engineering,"$32,000",1.24,2020-2021,1st,"$32,000",,,,Full health insurance
University of Maryland - Baltimore County (UMBC),Chemical Engineering,"$32,000",1.24,2020-2021,1st,"$32,000",,,,
University of Florida (UF),Biomedical engineering,"$23,100",1.02,2016-2017,1st,"$25,000",,,"$1,900",
University of Maryland - Baltimore County (UMBC),"Chemical, Biochemical & Environmental Engineering","$32,239",1.25,2020-2021,5th,"$32,300",,,$61,"Fees for the 2020-2021 school year are adjusted due to COVID-19. The total required fees for 2 credits of dissertation research is $61 this year. Total credits equals 9, but Ph.D. candidates are charged 2/9th of the rate."
Johns Hopkins University (JHU),Chemistry ,"$32,470",1.26,2020-2021,3rd,"$32,470",,,,
University of California - Irvine (UCI),Informatics,"$2,330",0.08,2020-2021,5th,,,"$2,330",,"Teaching one quarter course (2,330 per month) "
University of California - Irvine (UCI),Informatics,"$2,833",0.10,2020-2021,5th,"$2,833",,,,NSF GRFP
University of Florida (UF),Chemistry,"$24,400",1.07,2020-2021,,"$25,000",,,$600,
Johns Hopkins University (JHU),BCMB,"$33,000",1.28,2020-2021,3rd,"$33,000",,,,
Illinois Institute of Technology (IIT),Aerospace,"$4,900",0.20,2020-2021,1st,"$4,900",,,,
Florida State University (FSU),Physics,"$20,900",0.90,2020-2021,1st,"$20,900",,,,~75% healthcare subsidy for TAs with a 0.5 FTE.
,Entomology,"$22,868",,2020-2021,4th,"$23,000",,,$132,
University of Kentucky (UK),Entomology,"$22,868",1.12,2020-2021,,"$23,000",,,$132,
Sanford Burnham Prebys Medical Discovery Institute,,"$34,000",,2020-2021,2nd,"$34,000",,,,
University of Georgia (UGA),Bioinformatics,$960,0.05,2020-2021,1st,,"$2,200",,"$1,240",
University of Maryland - College Park (UMD),Geography,"$21,135",0.70,2020-2021,3rd,"$21,970",,,$835,"Fees include if you have passed your qualifying exam. If you have not, then the fee is 1635 a year. There is an additional international student fees of 125 a semester. Health insurance at a minimum costs 1447 a year, but it is terrible. Decent health insurance is 1885 a year"
University of Southern California (USC),Computer Science,"$21,680",0.84,2020-2021,4th,,"$21,780",,$100,
Mayo Clinic Graduate School of Biomedical Sciences,Neuroscience,"$33,383",,2020-2021,1st,"$33,383",,,,Need to pay $125 per month for health insurance from the  total pay received after taxes. 
University of Colorado - Boulder (UCB),Chemistry,"$30,980",1.21,2020-2021,4th,"$33,480",,,"$2,500",Contracts drafted each semester.
University of Chicago (UC),Social Work,"$29,000",1.20,2020-2021,1st,"$31,000",,,"$2,000",
,mechanical Engg,"$16,000",,2020-2021,2nd,"$18,000",,,"$2,000",
Indiana University- Purdue University - Indianapolis (IUPUI),mechanical Engg,"$16,000",0.77,2020-2021,2nd,"$18,000",,,"$2,000",
Vanderbilt University,Chemistry,"$29,500",1.28,2020-2021,5th,"$30,000",,,$500,
University of Wisconsin - Madison (UW),Electrical and Computer Engineering ,"$33,150",1.45,2020-2021,1st,"$34,000",,,$850,NSF Fellowship
University of Colorado - Boulder (UCB),Astrophysical and Planetary Sciences ,"$43,300",1.70,2020-2021,5th,"$44,000",,,$700,
University of Iowa (UI),Statistics,"$20,000",0.90,2020-2021,2nd,,"$20,000",,,
Purdue University - West Lafayette,Krannert Management School,"$20,100",0.95,2020-2021,3rd,"$20,700",,,$600,
Pennsylvania State University (Penn State),BMMB,"$31,330",1.39,2020-2021,1st,"$31,330",,,,
Washington University in St. Louis (Wash U),Immunology/Division of Biology and Biomedical Sciences,"$30,500",1.48,2020-2021,3rd,"$30,500",,,,Same stipend for all DBBS students and MD/PhD students
George Washington University (GW),Engineering,"$29,900",0.97,2020-2021,,"$29,900",,,,2semester RA + summer RA
National Institutes of Health (NIH),Niaaa,"$39,500",1.31,2020-2021,4th,"$39,500",,,,
,,"$28,000",,2020-2021,,"$40,000",,,"$12,000",
Columbia University (CU),,"$34,000",1.14,2020-2021,,,"$34,000",,,
Johns Hopkins University (JHU),Epidemiology,"$25,320",0.98,2020-2021,1st,"$25,320",,,,
Imperial College London,Computer science,"$23,000",,2020-2021,3rd,"$23,000",,,,"Fees paid by the department and stipend untaxed. Nevertheless, it is close to impossible to live half decently in London with this amount."
Iowa State University (ISU),HDFS,"$16,290",0.77,2020-2021,,,"$16,945",,$655,
University of Wisconsin - Madison (UW),Agricultural and Applied Economics,"$23,016",1.01,2019-2020,1st,,"$18,612","$6,204","$1,800",International student fees included. Cheaper for domestic students.
University of Wisconsin - Madison (UW),Agricultural and Applied Economics,"$23,116",1.01,2020-2021,2nd,"$24,816",,,"$1,700",International student fees included in the above fees. Will be chaper for domestic students
Harvard University (HU),Computer science ,$500,0.02,2020-2021,4th,"$1,000",,,$500,
Harvard University (HU),Engineering ,"$1,000,000",34.91,2020-2021,1st,"$1,000,000",,,,
George Washington University (GW),International  Relations and Affairs,,0.00,2020-2021,3rd,"$40,000",,,"$40,000",
George Washington University (GW),International  Relations and Affairs,,0.00,2020-2021,3rd,"$40,000",,,"$40,000",
University of South Florida,Psychology,"$12,700",,2018-2019,5th,,"$14,300",,"$1,600","Required fees were $800 per semester. Summer funding was extremely limited, with less than a quarter of the graduate students receiving funding."
University of Washington (UW),Computer Science and Engineering,"$45,300",1.95,2020-2021,,"$45,300",,,,UPass / Gym / Health Insurance if you are doing RA / TA
Brown University,Sociology,"$32,000",1.41,2020-2021,4th,"$32,000",,,,
